sentence,hate,category
তুই একটা বাইনচোদ মাদারচোদ,1,religion
মাগিকে ফাসি দেওয়ার দরকার,1,crime
কুত্তার বাচ্চারা কি বানাইছে এইডা কেউ অর বিচি চাইপা মাইরা ফালা,1,entertainment
কি কেমেরা দিয়ে ভিডিও করছে ধোন ছামা কিছুই তো দেখা গেলনা,1,crime
আর এভাবে সাংবাদিক বাইঞ্জুদ গুলা একটা নিউজ নিয়ে এমন গবেষণা চালাবে লেবু চিপে তিতা করি ঠান্ডা থাকবে,1,crime
সালা বাংলা বুজিস জানুয়ারের বাচ্ছা আগে পুরো ওয়াজ টা সুন তার পর বলেন ওকে,1,religion
বালের খেলওয়ার।,1,sports
ওই মাদার ছুদেরা এখন কাদছ কেন ওদের ফাসি চাই,1,crime
এইরকম ভি ডি ও বা মডেলিং বা আদর্শ সরুপ স্থাপন করায় বাংলাদেশের সমাজটা ডেমনা ও খানকি মাগীতে ভরে গেছে। লক্ষ লক্ষ কোটি কোটি ডেমনা ও খানকি মাগী রোজ রোজ তৈরি হচ্ছে। ভালো মেয়েদেরকেও এরা সব দিক দিয়ে পাকা খানকিতে তৈরি করে। আমার ভুরিভুরি অভিজ্ঞতা আছে। আমি অনেক অনেক দেখেছি । আমাকে ভুগিয়ে ভুগিয়ে তছনছ করে বরবাদ করে দিয়েছে এক খানকি মাগী। এরা নিজেরা হাজার জনকে দিয়ে চুদিয়ে বেড়াবে গুদের গর্ত কুঁয়োর মতো বানাবে সেই কুঁয়োতে ভাতারকে ডুবিয়ে ডুবিয়ে মারবে শালি খানকির জাত। তারা হাজার ভাতার করে বেড়াবে অন্যের বাচ্চার জন্ম দিয়ে ভাতারকে দিয়ে বড়ো করাবে। প্রবাসি ছেলেরা কত কষ্ট করে জীবনের ঝুঁকি নিয়ে দুটো টাকা রোজগার করে বাচ্চা মানুষ করে তাও আবার অন্য লোকের বাচ্চাকে? এ সমস্ত ভুক্তভুগি ছেলেরা ছোটখাটো একটু কিছু করলে দুনিয়াতে আগুন লেগে যায়। আর মাগীদের বেলায় কেউ কিছু বলবে না। ডেমনা ও মাগীরা এ সমস্ত মাগীদেরই দালালি   করে। কোন সময়ে ভাল ছেলেরাও এই মাগীদের দালালি করে। ভাল ছেলেদের কবে চোখ খুলবে কে জানে ???????,1,religion
মনে হয় তোকে আর তোর মাকে এক সাথে তাসকিন পেগন্টে করেছিলো মনে হয় মাগী মিথ্যা বাদী,1,sports
অাবাল মার্কা বিচারক অাহা চ্যানেল অাই এগুলারে কোথাথেকে ভের করচেন । যতসব অাবাল 😡😡,1,entertainment
ওপু উকিল আপনিযে একটা খানকি মাগি এটা বুঝা যাচ্ছে আর কার সাথে কার তুলনা করেন আপনি কুথায় কাউয়া কুথায় বেগম জিয়া।,1,politics
শালায় একটা মাদারচোদ,1,religion
টা কুত্তা টা কুত্তী কে বলছি ইনশাল্লাহ এই দেশে ইসলাম ছিল থাকবে তরা শত নাস্তিক এক সাথে হয়েও ইসলামের কিছু করতে পারবি না,1,religion
মিন্নি মাগি তো পিছে পিছে হেটে যাচ্ছে যখন ছেলেটাকে কিল ঘুসি মারতে মারতে নিয়ে যাচ্ছিলো পোলাপান।কই তখন তো সে আটকাতে গেলো না।স্পষ্ট বোঝা যাচ্ছে সব।ওরে এখনো কেনো গ্রেফতার করেনা পুলিশ??সেটাই মাথায় আসে না।,1,crime
কিরে এডমিন তুর চোখ কান কি কানা জারজের বাচ্চা তোদের জন্ম ঠিক নাই,1,religion
সাবিবর যখন ব্যাটিং এ আসে তখন আমি অনেক থাকি।কিনতু ভাই যখন খারাপ করে তখন জুতা মারতে মন চায়।😄😄,1,sports
এই সালাতো থাপ্পর না জুতা দিয়ে মাইর খাবে তার নিজ সন্তান থেকে৷ সালা মরার সময় পানিও পাবে না,1,"Meme, TikTok and others"
তুর জামাতের মারে ছুদি। বিএপির সবাই হিজড়া,1,politics
