	text_id	text	task_1	task_2	task_3	clean_text
677	hasoc_hi_3234	#CWC19 #AUSvNZ विलियमसन ने न्यूजीलैंड से कहा, खुल कर खेले और सकारात्मक रहे.   @CricketAus @BLACKCAPS   https://www.wahcricket.com/news/world-cup-2019-kane-williamson-reaction-after-lost-against-australia-138660 …	NOT	NONE	NONE	#cwc19 #ausvnz विलियमसन न्यूजीलैंड खुल खेले सकारात्मक https//wwwwahcricketcom/news/worldcup2019kanewilliamsonreactionafterlostagainstaustralia138660 …
1027	hasoc_hi_5302	Vijay ki taraf  Jai akhilesh yadav  Jai smajwad Vijay ki tarafJai akhilesh yadavJai smajwad …	NOT	NONE	NONE	vijay ki taraf jai akhilesh yadav jai smajwad vijay ki tarafjai akhilesh yadavjai smajwad …
2035	hasoc_hi_4328	कानिया बाबा शान्त है,मतलब   भगवा जाने वाली है।  कुछ ढोल जल्दी-जल्दी बज रहे है #प्रज्ञा_ठाकुर	NOT	NONE	NONE	कानिया बाबा शान्त हैमतलब भगवा जाने वाली है। ढोल जल्दीजल्दी बज #प्रज्ञाठाकुर
2601	hasoc_hi_3085	अतीक ने कभी स्वाभिमान का समझौता नही किया, आंख से आंख मिला कर बात की चाहे जो रहा हो। ये वक्त की बात है जो लोग आज बकैती कर रहे हैं कभी वो सामने सोफे पर बैठने की हिम्मत नही जुटा पाते थे।  ये ग़रीब लोगों की दुआओ का असर है कि एक मामुली अतीक अपने जीवन मे कई मर्तबा सीधे CM से भिड़ गया।	NOT	NONE	NONE	अतीक कभी स्वाभिमान समझौता नही आंख आंख मिला बात चाहे हो। वक्त बात लोग आज बकैती कभी वो सामने सोफे बैठने हिम्मत नही जुटा पाते थे। ग़रीब लोगों दुआओ असर मामुली अतीक जीवन मर्तबा सीधे cm भिड़ गया।
4616	hasoc_hi_4733	जबतक फांसी का प्रावधान नहीं लाएगी सरकार तबतक हमारे देश की बच्चियों के साथ यही होता रहेगा  और इन हत्यारे, बलात्कारियों के समर्थन में तिरंगा यात्रा निकालने वालों को भी साथ साथ फाँसी होनी चाहिए.  कानून बनाने से बनता है, हवाबाज़ी से सरकारें नहीं चलतीं हैं  #StopRape	HOF	OFFN	TIN	जबतक फांसी प्रावधान लाएगी सरकार तबतक हमारे देश बच्चियों रहेगा हत्यारे बलात्कारियों समर्थन तिरंगा यात्रा निकालने वालों फाँसी होनी चाहिए कानून बनाने बनता हवाबाज़ी सरकारें चलतीं #stoprape
2039	hasoc_hi_1822	#NoToJaiShriRam तो क्या भोसडीके 'अल्लाह हू अकबर' बोलकर बम फोड़ें।   जो राम का नही  वो किसी काम का नही।	HOF	PRFN	UNT	#notojaishriram क्या भोसडीके अल्लाह हू अकबर बोलकर बम फोड़ें। राम नही वो काम नही।
1621	hasoc_hi_2517	रात तो पाबंद है वक्त पर लौट आती है रोज     नींद ही 'आवारा' हो गई है आजकल.....    Good night Friends 	NOT	NONE	NONE	रात पाबंद वक्त लौट आती रोज नींद आवारा गई आजकल good night friends
1446	hasoc_hi_3712	दिल्ली में माहौल बिगाड़ने की साजिश?   देखिए चादंनी चौक से @MinakshiKandwalकी रिपोर्ट  Live: http://bit.ly/at_liveTV  #Dangal @sardanaRohit के साथ	NOT	NONE	NONE	दिल्ली माहौल बिगाड़ने साजिश देखिए चादंनी चौक रिपोर्ट live http//bitly/atlivetv #dangal
3138	hasoc_hi_1956	कोई डिबेट में जाए और चाहे ना जाए मगर दो चार हजार रुपए के लिए लम्बी टोपी लगाकर इस्लाम पर फ़र्ज़ी बकैती करने वाले मौलाना ज़रूर जाते रहेंगे, खुद के बस में बीस वोट भी नहीं हैं मोहल्ले के, और ठेकेदारी करेंगे पूरी क़ौम की.     अरे यार क्यों गालियाँ खाने का काम करते हो ?	HOF	HATE	TIN	डिबेट जाए चाहे जाए चार हजार रुपए लम्बी टोपी लगाकर इस्लाम फ़र्ज़ी बकैती मौलाना ज़रूर जाते रहेंगे खुद बस बीस वोट मोहल्ले ठेकेदारी करेंगे पूरी क़ौम अरे यार क्यों गालियाँ खाने काम
1811	hasoc_hi_6373	Biahar m bukhar s 69 bachhe mr gye o kisi Ko nhi dikh rha h	NOT	NONE	NONE	biahar m bukhar s 69 bachhe mr gye o kisi ko nhi dikh rha h
4240	hasoc_hi_855	राष्ट्रपति जी का आज संसद के संयुक्त सत्र को सम्बोधन क्या देश की त्रस्त जनता को आश्वस्त कर पाएगा कि नई सरकार की कथनी-करनी में पहले की तरह जमीन-आसमान का अन्तर नहीं होगा व जनहित के खास मुद्दों पर सरकार वादाखिलाफी नहीं करेगी? देश भर में फैली समस्यायें यह सवाल करने को मजबूर करती हैं।	NOT	NONE	NONE	राष्ट्रपति जी आज संसद संयुक्त सत्र सम्बोधन क्या देश त्रस्त जनता आश्वस्त पाएगा नई सरकार कथनीकरनी जमीनआसमान अन्तर होगा जनहित खास मुद्दों सरकार वादाखिलाफी करेगी देश भर फैली समस्यायें सवाल मजबूर करती हैं।
1074	hasoc_hi_3756	एक मुस्लिम मियां ने दूसरे मुस्लिम असगर अली को पीटा    उठक बैठक लगवाई और जबरदस्ती 'जय श्री राम' बुलवाकर वीडियो बनाया    वीडियो में खुद का चेहरा नहीं दिखाया    वीडियो वायरल हो गया    नकली सेक्युलर गैंग हिंदुओं को गाली देने लगे    अब पोल खुल गयी     पुलिस ने मियां जी को गिरफ्तार कर लिया हैं	NOT	NONE	NONE	मुस्लिम मियां मुस्लिम असगर अली पीटा उठक बैठक लगवाई जबरदस्ती जय श्री राम बुलवाकर वीडियो बनाया वीडियो खुद चेहरा दिखाया वीडियो वायरल नकली सेक्युलर गैंग हिंदुओं गाली देने लगे अब पोल खुल गयी पुलिस मियां जी गिरफ्तार लिया
3965	hasoc_hi_2264	मेट्रो और बसों का किराया फ्री करना सही निर्णय    पुरुषों के लिए भी फ्री कर दो    बिजली पानी के भी सारे बिल ख़तम हो    VAT, रोड टैक्स सभी टैक्स बंद कर दो    हर दिल्ली वाले पर सिर्फ एक टैक्स लगना चाहिए - एंटरटेनमेंट टैक्स     जोकर CM हैं , दिल्ली की बर्बादी का शो चालू हैं	HOF	OFFN	UNT	मेट्रो बसों किराया फ्री सही निर्णय पुरुषों फ्री बिजली पानी सारे बिल ख़तम vat रोड टैक्स टैक्स बंद हर दिल्ली सिर्फ टैक्स लगना चाहिए एंटरटेनमेंट टैक्स जोकर cm दिल्ली बर्बादी शो चालू
497	hasoc_hi_5344	बहुत बहुत शुक्रिया।    यह ख्याले खाम है,खूबसूरती चेहरे का नाम है।  ख्याल अच्छा हो तो,,सीरत भी अच्छी होती है।    नईम  #बज़्म #हिंदी_शब्द #बज़्म_ए_इख़लास   @10398108Ritesh @Shaheen31304594   @Azzuwrites @queen_hoon11   @Abdal__Abdullah @Mansi94893004   @SalehaIqbal6 @Khushi_eik_Pal	NOT	NONE	NONE	शुक्रिया। ख्याले खाम हैखूबसूरती चेहरे नाम है। ख्याल अच्छा तोसीरत अच्छी है। नईम #बज़्म #हिंदीशब्द #बज़्मएइख़लास
4007	hasoc_hi_1187	मीडिया की ओकात तो विजय वर्गीयजी ने बतादीया है सही कहा विजय वर्गीय ने में समर्थन करता हु , रंडी की तरह  बिकाऊ का मiन ही क्या ओर अपमान ही क्या...?	HOF	PRFN	UNT	मीडिया ओकात विजय वर्गीयजी बतादीया सही विजय वर्गीय समर्थन हु रंडी बिकाऊ मiन क्या अपमान क्या
1530	hasoc_hi_4496	हिन्दुस्तान को सोने की चिड़िया बनाने का प्लान बनाया है, चिड़िया तो बाद में बना देना पहले बच्चों को दवाई की पुड़िया तो दिलवा दो।  @KaranwalTanu	NOT	NONE	NONE	हिन्दुस्तान सोने चिड़िया बनाने प्लान बनाया चिड़िया बना देना बच्चों दवाई पुड़िया दिलवा दो।
4579	hasoc_hi_6417	#भड़वा #दलाल #नीच भाजपा का चाटूकार/चापलूस, तथाकथित पत्रकार..    एक महिला जो बिहार की मुख्यमंत्री रहीं, उसके प्रति ऐसी भाषा/सोच?    अत्यंत निन्दनीय शर्मनाक 	HOF	PRFN	UNT	#भड़वा #दलाल #नीच भाजपा चाटूकार/चापलूस तथाकथित पत्रकार महिला बिहार मुख्यमंत्री रहीं प्रति ऐसी भाषा/सोच अत्यंत निन्दनीय शर्मनाक
3973	hasoc_hi_6031	Ye neta log hamesha bade logo se hi kyun milte he or bhi he  Jinki vajah se vo jitte he  Wo he jantaYe neta log hamesha bade logo se hi kyun milte he or bhi heJinki vajah se vo jitte heWo he janta…	NOT	NONE	NONE	ye neta log hamesha bade logo se hi kyun milte he or bhi he jinki vajah se vo jitte he wo he jantaye neta log hamesha bade logo se hi kyun milte he or bhi hejinki vajah se vo jitte hewo he janta…
416	hasoc_hi_4896	नफरतों की तपती रेत में मुहब्बत की फुहारें क्या काम करेंगी,  यह सोच बदल दें हम........  क्योंकि किसी ने कहा है...........  बूंद-बूंद से सागर बनता है।  #Little_Star #MondayMorning  #शायरी #शब्दनिधि #क्याबोलताहैइंडिया	NOT	NONE	NONE	नफरतों तपती रेत मुहब्बत फुहारें क्या काम करेंगी सोच बदल दें हम क्योंकि बूंदबूंद सागर बनता है। #littlestar #mondaymorning #शायरी #शब्दनिधि #क्याबोलताहैइंडिया
1668	hasoc_hi_5483	डॉ. श्यामा प्रसाद मुखर्जी की स्मृति में समर्पित केंद्रीय विद्यालय, इस क्षेत्र के बच्चों के मन मन-मस्तिष्क में जलाएगा ज्ञान की ज्योति - श्री @ManojTiwariMP	NOT	NONE	NONE	डॉ श्यामा प्रसाद मुखर्जी स्मृति समर्पित केंद्रीय विद्यालय क्षेत्र बच्चों मन मनमस्तिष्क जलाएगा ज्ञान ज्योति श्री
4391	hasoc_hi_933	मेरे बिहार k परिजनों,ऐसी सेवा करना इस #कमीने की,k फिर आतंकवाद की किसी b type की कोई सेवा करने k योग्य ही न रहे!हमें ऐसे सेवक नहीं चाहिए जो हमारे #रक्तवंशियों को उजाड़ कर #मलेच्छों k लिए खड़े2 #प्राण लुटाते हों!  #भाई_से_भाई_लड़वाएगा_तो_मार_ही_खाएगा न!ये #म्लेच्छ गुजरात पर #कलंक h!	NOT	NONE	NONE	मेरे बिहार k परिजनोंऐसी सेवा #कमीने कीk आतंकवाद b type सेवा k योग्य रहेहमें सेवक चाहिए हमारे #रक्तवंशियों उजाड़ #मलेच्छों k खड़े2 #प्राण लुटाते हों #भाईसेभाईलड़वाएगातोमारहीखाएगा नये #म्लेच्छ गुजरात #कलंक h
745	hasoc_hi_2530	आकाश विजयवर्गीय पर एक्शन ले सकती है BJP  (@ReporterRavish )	NOT	NONE	NONE	आकाश विजयवर्गीय एक्शन ले सकती bjp
2452	hasoc_hi_1596	क्या इस #कमीने के लिये कोई #कानून नही है?  काननू केवल हमारे लिए ही बना है	NOT	NONE	NONE	क्या #कमीने #कानून नही काननू केवल हमारे बना
2625	hasoc_hi_2300	नहीं खा रहा है तो मरने दो भेनचोद को	HOF	PRFN	UNT	खा मरने भेनचोद
4283	hasoc_hi_7174	कैसा लगेगा ये सुनकर कि श्रीनगर मे  शहीद सैनिक औरंगज़ेब की हत्या  आतंकियों ने नही बल्कि आतंकियों के  मददगार कुछ संघी सैनिकों ने करवा दी?  हाँ 3 सैनिकों को आतंकियों कि  मुखबरी करने के आरोप में गिरफ्तार  किया गया है, लेकिन दिनभर टीवी पर  जवान-जवान करने वाले ऐंकरों को  औरंगजेब जवान नही लगता।	HOF	OFFN	UNT	कैसा लगेगा सुनकर श्रीनगर शहीद सैनिक औरंगज़ेब हत्या आतंकियों नही बल्कि आतंकियों मददगार संघी सैनिकों करवा दी हाँ 3 सैनिकों आतंकियों मुखबरी आरोप गिरफ्तार दिनभर टीवी जवानजवान ऐंकरों औरंगजेब जवान नही लगता।
1928	hasoc_hi_2653	मंगलौर एयरपोर्ट पर रनवे पर फिसला एयर इंडिया का विमान, सभी 183 यात्री सुरक्षित    #AirIndia   https://abpnews.abplive.in/india-news/air-india-express-dubai-to-mangalore-aircraft-veered-off-the-taxiway-1157610 …	NOT	NONE	NONE	मंगलौर एयरपोर्ट रनवे फिसला एयर इंडिया विमान 183 यात्री सुरक्षित #airindia https//abpnewsabplivein/indianews/airindiaexpressdubaitomangaloreaircraftveeredoffthetaxiway1157610 …
6	hasoc_hi_7142	Ahmed's dad:-- beta aaj teri mammy kyu nahi baat kr rhi h.   Ahmed.... 	NOT	NONE	NONE	ahmeds dad beta aaj teri mammy kyu nahi baat kr rhi h ahmed
4519	hasoc_hi_1680	एक मुसलमान अपनी पत्नी तलाक़ देकर भी छोड़ दें तो तीन साल की सज़ा     एक हिन्दू अपनी पत्नी को बिन तलाक़ दिए ही छोड़ दें तो प्रधानमंत्री भी बन सकता है.. @RubikaLiyaquat    ये कैसा इंसाफ है..।।    इंसाफ़ के लिए RT करे..	HOF	HATE	UNT	मुसलमान पत्नी तलाक़ देकर छोड़ दें तीन साल सज़ा हिन्दू पत्नी बिन तलाक़ दिए छोड़ दें प्रधानमंत्री बन कैसा इंसाफ है।। इंसाफ़ rt करे
983	hasoc_hi_5430	#ModiGovt ने तीन बड़े मीडिया समूह के अखबारों को #GovtAds देना बंद कर दिया है। इस लिस्ट में #RafaleDeal पर खुलासा करने वाला #TheHindu अखबार भी शामिल है। कहा जा रहा है कि सरकार और #BJP की आलोचना करने और राफेल डील पर रिपोर्ट्स छापने की वजह से ऐसा किया गया।	NOT	NONE	NONE	#modigovt तीन बड़े मीडिया समूह अखबारों #govtads देना बंद है। लिस्ट #rafaledeal खुलासा वाला #thehindu अखबार शामिल है। सरकार #bjp आलोचना राफेल डील रिपोर्ट्स छापने वजह ऐसा गया।
4407	hasoc_hi_1178	इतनी कट्टरपंथी के बावजूद अकेला शेर बिना किसी हिचकिचाहट अल्लाह के नाम के साथ शपथ लेता है  वाकई में बंदा काबिले तारीफ है  @asadowaisi @ShaukatAli_77 @syedKashaf95 @akbarowaisii	NOT	NONE	NONE	इतनी कट्टरपंथी बावजूद अकेला शेर बिना हिचकिचाहट अल्लाह नाम शपथ लेता वाकई बंदा काबिले तारीफ
2002	hasoc_hi_3443	ये हरामी केजरीवाल को दिखाई दिया कि नही   नही दिखाई दिया होगा  क्यो की केजरीवाल तो मुसलमानो का खुदा है,	HOF	OFFN	TIN	हरामी केजरीवाल दिखाई नही नही दिखाई होगा क्यो केजरीवाल मुसलमानो खुदा
4271	hasoc_hi_5356	जायरा वसीम ने कहा 'इस्लाम में अभिनय हराम'है  तो क्या मीनाकुमारी, मधुबाला  सायराबानों, शबानाआजमी, सलमान, शाहरुख सब   हरामी हैं ?	HOF	OFFN	UNT	जायरा वसीम इस्लाम अभिनय हरामहै क्या मीनाकुमारी मधुबाला सायराबानों शबानाआजमी सलमान शाहरुख सब हरामी
4303	hasoc_hi_3016	कोई मर जाये तो राम नाम सत्य है।  किसी ने मार दिया तो, हे राम !  किसी को मारना है तो जय श्री राम   । जंगलराज।  @RahulGandhi   @Anjupra7743   @MamataOfficial   @Mamta02826938   @MimrotReena   @Bhim_Army_Tweet   @jigneshmevani80	HOF	OFFN	UNT	मर जाये राम नाम सत्य है। मार राम मारना जय श्री राम । जंगलराज।
4423	hasoc_hi_673	मॉब लिंचिंग मे मारे गए लोगो को दिल्ली वक्फ बोर्ड 5-5 लाख देगा,    तुम मंदिर मे रोजा खुलवाना,मारे गए लोगों के श्राद्ध मे स्वादिष्ट भोजन कराना,समय बचे तो वृक्षा रोपण,वोटर जागरूकता अभियान,  जगराता एकादशी और सत्यनारायण कथा कराना।    कितने हिन्दू हिंदुत्ववाद पर मारे गए कोई संगठन न आगे आया।	HOF	HATE	TIN	मॉब लिंचिंग मारे गए लोगो दिल्ली वक्फ बोर्ड 55 लाख देगा तुम मंदिर रोजा खुलवानामारे गए लोगों श्राद्ध स्वादिष्ट भोजन करानासमय बचे वृक्षा रोपणवोटर जागरूकता अभियान जगराता एकादशी सत्यनारायण कथा कराना। कितने हिन्दू हिंदुत्ववाद मारे गए संगठन आगे आया।
76	hasoc_hi_7794	Nayan Neerav Abe Ulta kahe ko bol rha hSP- 15BSP- 5	NOT	NONE	NONE	nayan neerav abe ulta kahe ko bol rha hsp 15bsp 5
2163	hasoc_hi_4875	सच्चाई सामने आने से इतना डरते है कि अपनी दलाल मीडिया को भड़वा गिरी करने के लिए काम पर लगा देते है	HOF	PRFN	TIN	सच्चाई सामने आने इतना डरते दलाल मीडिया भड़वा गिरी काम लगा देते
4637	hasoc_hi_6280	माँ ने कहा की खान साहब किराया मागने आये थे पर घर  की हालत की वजह से इस महीने का किराया मेने दिया उनके लुंड का पूरा रस पी के  RT 	HOF	PRFN	TIN	माँ खान साहब किराया मागने आये हालत वजह महीने किराया मेने लुंड रस पी rt
