,sentence,hate,category
6252,তুই একটা বাইনচোদ মাদারচোদ,1,religion
4684,মাগিকে ফাসি দেওয়ার দরকার,1,crime
1731,কুত্তার বাচ্চারা কি বানাইছে এইডা কেউ অর বিচি চাইপা মাইরা ফালা,1,entertainment
4742,কি কেমেরা দিয়ে ভিডিও করছে ধোন ছামা কিছুই তো দেখা গেলনা,1,crime
4521,আর এভাবে সাংবাদিক বাইঞ্জুদ গুলা একটা নিউজ নিয়ে এমন গবেষণা চালাবে লেবু চিপে তিতা করি ঠান্ডা থাকবে,1,crime
6340,সালা বাংলা বুজিস জানুয়ারের বাচ্ছা আগে পুরো ওয়াজ টা সুন তার পর বলেন ওকে,1,religion
576,বালের খেলওয়ার।,1,sports
5202,ওই মাদার ছুদেরা এখন কাদছ কেন ওদের ফাসি চাই,1,crime
6363,এইরকম ভি ডি ও বা মডেলিং বা আদর্শ সরুপ স্থাপন করায় বাংলাদেশের সমাজটা ডেমনা ও খানকি মাগীতে ভরে গেছে। লক্ষ লক্ষ কোটি কোটি ডেমনা ও খানকি মাগী রোজ রোজ তৈরি হচ্ছে। ভালো মেয়েদেরকেও এরা সব দিক দিয়ে পাকা খানকিতে তৈরি করে। আমার ভুরিভুরি অভিজ্ঞতা আছে। আমি অনেক অনেক দেখেছি । আমাকে ভুগিয়ে ভুগিয়ে তছনছ করে বরবাদ করে দিয়েছে এক খানকি মাগী। এরা নিজেরা হাজার জনকে দিয়ে চুদিয়ে বেড়াবে গুদের গর্ত কুঁয়োর মতো বানাবে সেই কুঁয়োতে ভাতারকে ডুবিয়ে ডুবিয়ে মারবে শালি খানকির জাত। তারা হাজার ভাতার করে বেড়াবে অন্যের বাচ্চার জন্ম দিয়ে ভাতারকে দিয়ে বড়ো করাবে। প্রবাসি ছেলেরা কত কষ্ট করে জীবনের ঝুঁকি নিয়ে দুটো টাকা রোজগার করে বাচ্চা মানুষ করে তাও আবার অন্য লোকের বাচ্চাকে? এ সমস্ত ভুক্তভুগি ছেলেরা ছোটখাটো একটু কিছু করলে দুনিয়াতে আগুন লেগে যায়। আর মাগীদের বেলায় কেউ কিছু বলবে না। ডেমনা ও মাগীরা এ সমস্ত মাগীদেরই দালালি   করে। কোন সময়ে ভাল ছেলেরাও এই মাগীদের দালালি করে। ভাল ছেলেদের কবে চোখ খুলবে কে জানে ???????,1,religion
439,মনে হয় তোকে আর তোর মাকে এক সাথে তাসকিন পেগন্টে করেছিলো মনে হয় মাগী মিথ্যা বাদী,1,sports
2750,অাবাল মার্কা বিচারক অাহা চ্যানেল অাই এগুলারে কোথাথেকে ভের করচেন । যতসব অাবাল 😡😡,1,entertainment
